scenario,sales_volume,price,revenue,personnel_costs,material_costs,marketing_costs,other_costs,total_costs,ebit,net_profit,unit_cost,margin_per_unit,margin_percentage,scenario_type,strategy,new_price,new_sales,new_revenue,roi,credit_amount,credit_type,safety_margin,new_revenue_mio,net_profit_mio,credit_amount_mio,price_reduction_percent,credit_costs,interest_rate,break_even_sales
Basis (ohne Kredit),43000.0,3000.0,129000000.0,52449600.0,22672610.0,9000000.0,1250000.0,87522210.0,41477790.0,22812784.5,2035.4002325581396,964.5997674418604,32.15332558139535,Basis,,,,,,,,,,,,,,,
,,,,,,,,,,22812784.5,,,,Strategie,Basis,,,,17.684329069767443,0.0,Keine,,,22.8,0.0,,,,
,,,,,,,,,,26066676.627200004,,,,Strategie,Moderat,2760.0,49880.0,137668800.0,325.83345784000005,8000000.0,Langfristig,34.426070034750076,137.7,26.1,8.0,,,,
,,,,,,,,,,24489519.064999998,,,,Strategie,Aggressiv,2460.0,55900.0,137514000.0,136.05288369444443,18000000.0,Kurzfristig,32.37953830155475,137.5,24.5,18.0,,,,
,,,,,,,,,,24007063.674000002,,,,Strategie,Qualitätsfokus,2850.0,47300.0,134805000.0,200.05886395000002,12000000.0,Langfristig,32.37951610103483,134.8,24.0,12.0,,,,
"Kredit-Strategie (P-15.0%, K-10.0M€)",,,,,,,,97095273.35,45449726.650000006,24997349.657500003,1736.9458559928444,813.0541440071556,,Sensitivität,,2550.0,55900.0,142545000.0,249.973496575,10000000.0,,31.88447623557473,,,,15.0,600000.0,6.000000000000001,38076.577784313726
"Kredit-Strategie (P-17.5%, K-10.0M€)",,,,,,,,98279722.32499999,45394027.67500001,24966715.221250005,1693.0184724375536,781.9815275624464,,Sensitivität,,2475.0,58050.0,143673750.0,249.66715221250007,10000000.0,,31.59521323484632,,,,17.5,600000.0,6.000000000000001,39708.97871717171
"Kredit-Strategie (P-12.5%, K-10.0M€)",,,,,,,,95910824.375,45182925.625,24850609.09375,1784.3874302325582,840.6125697674418,,Sensitivität,,2625.0,53750.0,141093750.0,248.5060909375,10000000.0,,32.02333599114064,,,,12.5,600000.0,6.000000000000001,36537.45690476191
"Kredit-Strategie (P-20.0%, K-10.0M€)",,,,,,,,99463620.3935,45013979.6065,24757688.783575,1652.2470538297978,747.7529461702022,,Sensitivität,,2400.0,60199.0,144477600.0,247.57688783575,10000000.0,,31.15637275709176,,,,20.0,600000.0,6.000000000000001,41443.17516395833
"Kredit-Strategie (P-10.0%, K-10.0M€)",,,,,,,,94726375.4,44593624.599999994,24526493.529999997,1835.7824689922481,864.2175310077519,,Sensitivität,,2700.0,51600.0,139320000.0,245.26493529999996,10000000.0,,32.0080567039908,,,,10.0,600000.0,6.000000000000001,35083.84274074074
